,Unnamed: 0,event,cosmo,url,filename,catalog
51,51,GW190521_074359,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
52,52,GW190527_092055,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
53,53,GW190527_092055,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
54,54,GW190602_175927,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
55,55,GW190602_175927,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
56,56,GW190620_030421,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
57,57,GW190620_030421,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
58,58,GW190630_185205,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
59,59,GW190630_185205,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
60,60,GW190701_203306,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
61,61,GW190701_203306,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
62,62,GW190706_222641,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
63,63,GW190706_222641,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
64,64,GW190707_093326,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
65,65,GW190707_093326,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
66,66,GW190708_232457,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
67,67,GW190708_232457,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
68,68,GW190719_215514,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
69,69,GW190719_215514,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
70,70,GW190720_000836,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
71,71,GW190720_000836,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
72,72,GW190725_174728,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
73,73,GW190725_174728,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
74,74,GW190727_060333,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
75,75,GW190727_060333,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
76,76,GW190728_064510,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
