,event,catalog,url,filename,cosmo
117,GW191230_180458,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191230_180458_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191230_180458_PEDataRelease_mixed_nocosmo.h5,False
119,GW200112_155838,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200112_155838_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200112_155838_PEDataRelease_mixed_cosmo.h5,True
121,GW200112_155838,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200112_155838_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200112_155838_PEDataRelease_mixed_nocosmo.h5,False
123,GW200115_042309,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200115_042309_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200115_042309_PEDataRelease_mixed_cosmo.h5,True
125,GW200115_042309,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200115_042309_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200115_042309_PEDataRelease_mixed_nocosmo.h5,False
127,GW200128_022011,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200128_022011_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200128_022011_PEDataRelease_mixed_cosmo.h5,True
129,GW200128_022011,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200128_022011_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200128_022011_PEDataRelease_mixed_nocosmo.h5,False
131,GW200129_065458,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200129_065458_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200129_065458_PEDataRelease_mixed_cosmo.h5,True
133,GW200129_065458,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200129_065458_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200129_065458_PEDataRelease_mixed_nocosmo.h5,False
135,GW200202_154313,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200202_154313_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200202_154313_PEDataRelease_mixed_cosmo.h5,True
137,GW200202_154313,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200202_154313_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200202_154313_PEDataRelease_mixed_nocosmo.h5,False
139,GW200208_130117,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200208_130117_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200208_130117_PEDataRelease_mixed_cosmo.h5,True
